time,heigh,weight,bmi
20/08/2024 7:58:56,170,70,0.2422145329
20/08/2024 8:01:52,170,50,0.1730103806
20/08/2024 8:02:06,177,47,0.1500207476
20/08/2024 8:02:06,170,70,0.2422145329
20/08/2024 8:02:08,174,85,0.2807504294
20/08/2024 8:02:09,169,61,0.213577956
20/08/2024 8:02:11,171,65,0.2222906193
20/08/2024 8:02:12,173,48,0.160379565
20/08/2024 8:02:12,157,42,0.170392308
20/08/2024 8:02:13,180,85,0.262345679
20/08/2024 8:02:15,153,48,0.20504934
20/08/2024 8:02:17,160,45,0.17578125
20/08/2024 8:02:19,170,62,0.214532872
20/08/2024 8:02:21,168,58,0.2054988662
20/08/2024 8:02:28,165,51,0.1873278237
20/08/2024 8:02:30,170,54,0.1868512111
20/08/2024 8:02:30,165,50,0.1836547291
20/08/2024 8:02:31,162,45,0.1714677641
20/08/2024 8:02:32,178,75,0.2367125363
20/08/2024 8:02:35,180,70,0.2160493827
20/08/2024 8:02:37,170,55,0.1903114187
20/08/2024 8:02:39,162,55,0.2095717116
20/08/2024 8:02:41,178,66,0.2083070319
20/08/2024 8:02:41,169,55,0.1925702882
20/08/2024 8:02:51,165,41,0.1505968779
20/08/2024 8:02:58,170,68,0.2352941176
20/08/2024 8:02:59,155,53,0.220603538
20/08/2024 8:03:02,168,52,0.1842403628
20/08/2024 8:03:02,175,70,0.2285714286
20/08/2024 8:03:06,173,72,0.2405693475
20/08/2024 8:03:09,172,70,0.2366143862
20/08/2024 8:03:14,169,54,0.1890690102
20/08/2024 8:03:18,173,64,0.21383942
20/08/2024 8:03:21,170,70,0.2422145329
20/08/2024 8:03:26,170,61,0.2110726644
20/08/2024 8:03:29,170,60,0.2076124567
20/08/2024 8:03:32,169,48,0.1680613424
20/08/2024 8:03:36,170,69,0.2387543253
20/08/2024 8:03:36,168,58,0.2054988662
20/08/2024 8:03:42,165,50,0.1836547291
20/08/2024 8:03:46,160,46,0.1796875
20/08/2024 8:04:35,171,52,0.1778324955
20/08/2024 8:04:37,169,65,0.2275830678
20/08/2024 8:05:33,160,50,0.1953125
20/08/2024 8:05:45,178,61,0.1925261962
20/08/2024 8:06:04,152,47,0.2034279778
20/08/2024 8:06:48,162,52,0.1981405274
20/08/2024 8:09:39,171,48,0.1641530727
20/08/2024 8:09:43,165,67,0.246097337
